stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
H1to153d,,"THORICOURT Noir Jambon",,  50.623286,   3.978232,,,0
H1to154a,,"THORICOURT Place",,  50.610820,   3.950121,,,0
H1to154b,,"THORICOURT Place",,  50.610917,   3.950020,,,0
H1to155a,,"THORICOURT Rue des Panottes",,  50.608594,   3.944358,,,0
H1to155b,,"THORICOURT Rue des Panottes",,  50.608475,   3.943735,,,0
H1tt104a,,"THIRIMONT Eglise",,  50.261055,   4.235158,,,0
H1tt104b,,"THIRIMONT Eglise",,  50.261126,   4.235100,,,0
H1tt106a,,"THIRIMONT Rue d'Hurimont",,  50.244591,   4.233232,,,0
H1tt106b,,"THIRIMONT Rue d'Hurimont",,  50.244392,   4.232960,,,0
H1tt107a,,"THIRIMONT Rue des Pouilleux",,  50.260014,   4.225042,,,0
H1tt107b,,"THIRIMONT Rue des Pouilleux",,  50.260182,   4.224001,,,0
H1tt109a,,"THIRIMONT Trieu Flamine",,  50.259553,   4.236164,,,0
H1tt109b,,"THIRIMONT Trieu Flamine",,  50.259561,   4.236382,,,0
H1vb141a,,"VELLEREILLE-LES-BRAYEUX Centre",,  50.379024,   4.152938,,,0
H1vb141b,,"VELLEREILLE-LES-BRAYEUX Centre",,  50.379047,   4.152640,,,0
H1vb142a,,"VELLEREILLE-LES-BRAYEUX Rue St Roch",,  50.380642,   4.167799,,,0
H1vb142b,,"VELLEREILLE-LES-BRAYEUX Rue St Roch",,  50.380445,   4.167461,,,0
H1vb143a,,"VELLEREILLE-LES-BRAYEUX Séminaire",,  50.386068,   4.138978,,,0
H1vb147a,,"VELLEREILLE-LES-BRAYEUX Domaine de Pince",,  50.377254,   4.174167,,,0
H1vb147b,,"VELLEREILLE-LES-BRAYEUX Domaine de Pince",,  50.376778,   4.174423,,,0
H1vb148a,,"VELLEREILLE-LES-BRAYEUX Bois de Pincemai",,  50.368193,   4.164315,,,0
H1vb148b,,"VELLEREILLE-LES-BRAYEUX Bois de Pincemai",,  50.368426,   4.164403,,,0
H1vg358a,,"VILLERS-ST-GHISLAIN Barrière",,  50.431482,   4.049637,,,0
H1vg358b,,"VILLERS-ST-GHISLAIN Barrière",,  50.431337,   4.049619,,,0
